 COUNTRY	POPULATION
 Nauru†	11,832
 Wallis and Futuna (France)	11,369
 Tuvalu†	10,679
 Saint Barthélemy (France)	10,124
 Saint Helena, Ascension	6,000
and Tristan da Cunha (UK)	
 Saint Pierre and Miquelon (France)	5,985
 Montserrat (UK)	5,000
 Falkland Islands (UK)	4,000
 Christmas Island (Australia)	1,966
 Norfolk Island (Australia)	1,734
 Niue (NZ)	1,549
 Tokelau (NZ)	1,501
 Vatican City[ab]	825
 Cocos (Keeling) Islands (Australia)	573
 Pitcairn Islands (UK)	40
